GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006950	Response to stress	2.0843589585808577e-07	2.0843589585808577e-07	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000095787,ENSG00000099341,ENSG00000105810,ENSG00000108344,ENSG00000111252,ENSG00000117222,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000139610,ENSG00000141736,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000163545,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000165660,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000173991,ENSG00000179168,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000188766,ENSG00000189050,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000198563,ENSG00000203747,ENSG00000204287,ENSG00000204301,ENSG00000204305,ENSG00000204308,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204410,ENSG00000204420,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204544,ENSG00000204569,ENSG00000204574,ENSG00000204580,ENSG00000204590,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000213676,ENSG00000213719,ENSG00000213760,ENSG00000213780,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848,ENSG00000255152
GO:0002443	Leukocyte mediated immunity	5.536773913969584e-07	5.536773913969584e-07	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000143669,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000166278,ENSG00000172057,ENSG00000172232,ENSG00000179344,ENSG00000180871,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204287,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204475,ENSG00000204525,ENSG00000204590,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000240247,ENSG00000244731
GO:0002274	Myeloid leukocyte activation	1.6151253548e-06	1.6151253548e-06	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000126368,ENSG00000140575,ENSG00000140577,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204472,ENSG00000204525,ENSG00000206047,ENSG00000232810,ENSG00000234745,ENSG00000240247,ENSG00000245848
GO:0051673	Membrane disruption in other organism	4.4145553833e-06	4.4145553833e-06	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0045087	Innate immune response	1.53715869069e-05	1.53715869069e-05	+1	ENSG00000072694,ENSG00000099341,ENSG00000108344,ENSG00000143669,ENSG00000159840,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000197766,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204472,ENSG00000204475,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0019221	Cytokine-mediated signaling pathway	1.55765732698e-05	1.55765732698e-05	+1	ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000113368,ENSG00000121807,ENSG00000160791,ENSG00000163464,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000180871,ENSG00000183625,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204310,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000204616,ENSG00000213088,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000245848
GO:0071310	Cellular response to organic substance	1.58938848915e-05	1.58938848915e-05	+1	ENSG00000072694,ENSG00000092067,ENSG00000095739,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108443,ENSG00000111252,ENSG00000113368,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000133059,ENSG00000140575,ENSG00000141736,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000167642,ENSG00000171631,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000186010,ENSG00000188766,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000198369,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204498,ENSG00000204525,ENSG00000204531,ENSG00000204616,ENSG00000206047,ENSG00000213088,ENSG00000213676,ENSG00000213760,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000245848
GO:0045321	Leukocyte activation	1.64180261767e-05	1.64180261767e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126368,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000173585,ENSG00000179344,ENSG00000180871,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204287,ENSG00000204290,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204516,ENSG00000204525,ENSG00000206047,ENSG00000232810,ENSG00000234745,ENSG00000240247,ENSG00000245848
GO:0070887	Cellular response to chemical stimulus	1.93009486701e-05	1.93009486701e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000092067,ENSG00000095739,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108443,ENSG00000110934,ENSG00000111252,ENSG00000113368,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000133059,ENSG00000140575,ENSG00000141736,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000167419,ENSG00000167642,ENSG00000171631,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000186010,ENSG00000188766,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000198369,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204435,ENSG00000204444,ENSG00000204463,ENSG00000204472,ENSG00000204498,ENSG00000204525,ENSG00000204531,ENSG00000204616,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000213676,ENSG00000213760,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000244355,ENSG00000245848,ENSG00000255552
GO:0001775	Cell activation	2.24875855381e-05	2.24875855381e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000111252,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126368,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000173585,ENSG00000179344,ENSG00000180871,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204287,ENSG00000204290,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204516,ENSG00000204525,ENSG00000206047,ENSG00000213719,ENSG00000232810,ENSG00000234745,ENSG00000240247,ENSG00000245848
GO:0010033	Response to organic substance	2.33508197452e-05	2.33508197452e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000092067,ENSG00000095739,ENSG00000099338,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108443,ENSG00000111252,ENSG00000113368,ENSG00000117222,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000133059,ENSG00000140575,ENSG00000141736,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000167642,ENSG00000171631,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000186010,ENSG00000188766,ENSG00000189050,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000198369,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204435,ENSG00000204444,ENSG00000204463,ENSG00000204472,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204616,ENSG00000206047,ENSG00000213088,ENSG00000213676,ENSG00000213760,ENSG00000224389,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000244355,ENSG00000245848,ENSG00000255552
GO:0036230	Granulocyte activation	2.47808656388e-05	2.47808656388e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0070098	Chemokine-mediated signaling pathway	3.54082359164e-05	3.54082359164e-05	+1	ENSG00000111252,ENSG00000121807,ENSG00000160791,ENSG00000163464,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000180871,ENSG00000183625,ENSG00000213088
GO:0071345	Cellular response to cytokine stimulus	5.42336811918e-05	5.42336811918e-05	+1	ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000113368,ENSG00000121807,ENSG00000126368,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000179344,ENSG00000180871,ENSG00000183625,ENSG00000186010,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204310,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204472,ENSG00000204525,ENSG00000204616,ENSG00000213088,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000245848
GO:0006959	Humoral immune response	6.1731491745e-05	6.1731491745e-05	+1	ENSG00000072694,ENSG00000121807,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000172232,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0009617	Response to bacterium	6.80166727506e-05	6.80166727506e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000092067,ENSG00000108342,ENSG00000112773,ENSG00000121053,ENSG00000126368,ENSG00000143669,ENSG00000160791,ENSG00000161405,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000196126,ENSG00000197561,ENSG00000197766,ENSG00000204308,ENSG00000204498,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000239839,ENSG00000240247
GO:0043299	Leukocyte degranulation	7.37458991392e-05	7.37458991392e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0042119	Neutrophil activation	8.3024403295e-05	8.3024403295e-05	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
