p_value	term_id	source	term_name
0.310707530547355	GO:0046483	GO:BP	heterocycle metabolic process
0.370700533800151	GO:0006725	GO:BP	cellular aromatic compound metabolic process
0.380916627671063	GO:0006139	GO:BP	nucleobase-containing compound metabolic process
0.381519246579664	GO:0060541	GO:BP	respiratory system development
0.388571545841819	GO:0005634	GO:CC	nucleus
0.390189723312307	GO:0060485	GO:BP	mesenchyme development
0.406528459019139	GO:1901360	GO:BP	organic cyclic compound metabolic process
0.423183384133364	GO:0050678	GO:BP	regulation of epithelial cell proliferation
0.423293121358214	GO:0007498	GO:BP	mesoderm development
0.424332147065916	GO:0043009	GO:BP	chordate embryonic development
0.463608713124357	GO:0060441	GO:BP	epithelial tube branching involved in lung morphogenesis
0.494467067159104	GO:0042101	GO:CC	T cell receptor complex
0.495941587211955	GO:0016070	GO:BP	RNA metabolic process
0.511205037525308	GO:0001707	GO:BP	mesoderm formation
0.523511842581402	GO:0045944	GO:BP	positive regulation of transcription by RNA polymerase II
0.532632403935135	GO:1901576	GO:BP	organic substance biosynthetic process
0.541678228334725	GO:0032501	GO:BP	multicellular organismal process
0.545482690761916	GO:0009792	GO:BP	embryo development ending in birth or egg hatching
0.565780424349332	GO:0048332	GO:BP	mesoderm morphogenesis
0.591538958326737	GO:0031093	GO:CC	platelet alpha granule lumen
0.68439902141587	GO:0009954	GO:BP	proximal/distal pattern formation
0.710810221077492	GO:0048608	GO:BP	reproductive structure development
0.728105983461455	GO:0048729	GO:BP	tissue morphogenesis
0.730307350730035	GO:0030855	GO:BP	epithelial cell differentiation
0.731733532515555	GO:0071837	GO:MF	HMG box domain binding
0.744445001428674	GO:0061458	GO:BP	reproductive system development
0.758551489981764	GO:0009058	GO:BP	biosynthetic process
0.789994162021909	GO:0001570	GO:BP	vasculogenesis
0.797460172301005	GO:0019904	GO:MF	protein domain specific binding
0.833036057806593	GO:0097038	GO:CC	perinuclear endoplasmic reticulum
0.920019263970763	GO:0044249	GO:BP	cellular biosynthetic process
0.960192115476561	GO:0005159	GO:MF	insulin-like growth factor receptor binding
0.961901708531431	GO:0031327	GO:BP	negative regulation of cellular biosynthetic process
0.975316303773774	GO:0045647	GO:BP	negative regulation of erythrocyte differentiation
